X,Y,Z
320977.324,4168146.318,2945.579
320977.336,4168146.338,2945.582
320977.343,4168146.353,2945.58
320977.334,4168146.35,2945.561
320977.357,4168146.383,2945.575
320977.366,4168146.408,2945.567
320977.378,4168146.428,2945.57
320977.405,4168146.492,2945.552
320977.43,4168146.533,2945.56
320977.422,4168146.532,2945.542
320977.42,4168146.535,2945.53
320977.433,4168146.564,2945.526
320977.429,4168146.572,2945.503
320977.461,4168146.629,2945.511
320977.496,4168146.688,2945.522
320977.509,4168146.708,2945.527
320977.53,4168146.738,2945.541
320977.549,4168146.766,2945.553
320977.559,4168146.784,2945.556
320977.573,4168146.825,2945.535
320977.576,4168146.835,2945.53
320977.58,4168146.845,2945.525
320977.576,4168146.848,2945.511
320977.588,4168146.867,2945.515
320977.601,4168146.888,2945.522
320977.6,4168146.893,2945.511
320977.61,4168146.911,2945.514
320977.622,4168146.93,2945.5190000000002
320977.621,4168146.936,2945.509
320977.626,4168146.953,2945.496
320977.628,4168146.975,2945.472
320977.14,4168145.924,2945.6
320977.148,4168145.941,2945.598
320977.177,4168146.025,2945.558
320977.22,4168146.097,2945.572
320977.248,4168146.144,2945.581
320977.271,4168146.178,2945.596
320977.273,4168146.194,2945.578
320977.293,4168146.231,2945.579
320977.326,4168146.284,2945.595
320977.336,4168146.316,2945.577
320977.352,4168146.348,2945.575
320977.374,4168146.4,2945.56
320977.414,4168146.473,2945.565
320977.413,4168146.486,2945.546
320977.432,4168146.521,2945.5480000000002
320977.437,4168146.533,2945.544
320977.431,4168146.533,2945.529
320977.456,4168146.588,2945.518
320977.446,4168146.583,2945.497
320977.477,4168146.631,2945.513
320977.513,4168146.692,2945.526
320977.549,4168146.745,2945.5480000000002
320977.55,4168146.759,2945.531
320977.569,4168146.793,2945.534
320977.579,4168146.817,2945.528
320977.599,4168146.858,2945.523
320977.604,4168146.871,2945.52
320977.606,4168146.886,2945.504
320977.625,4168146.913,2945.517
320977.624,4168146.918,2945.507
320977.622,4168146.923,2945.496
320977.633,4168146.941,2945.5
320977.628,4168146.942,2945.485
320977.629,4168146.949,2945.477
320977.227,4168146.079,2945.575
320977.31,4168146.233,2945.584
320977.348,4168146.291,2945.605
320977.354,4168146.326,2945.573
320977.368,4168146.355,2945.568
320977.377,4168146.372,2945.569
320977.388,4168146.392,2945.571
320977.404,4168146.43,2945.56
320977.407,4168146.44,2945.553
320977.428,4168146.478,2945.557
320977.438,4168146.503,2945.55
320977.435,4168146.506,2945.537
320977.457,4168146.551,2945.533
320977.453,4168146.554,2945.52
320977.465,4168146.58,2945.514
320977.482,4168146.626,2945.496
320977.505,4168146.658,2945.512
320977.52,4168146.682,2945.52
320977.56,4168146.733,2945.555
320977.553,4168146.733,2945.539
320977.582,4168146.784,2945.544
320977.594,4168146.817,2945.531
320977.604,4168146.841,2945.524
320977.617,4168146.868,2945.521
320977.627,4168146.892,2945.514
320977.628,4168146.9,2945.507
320977.635,4168146.92,2945.497
320977.057,4168145.708,2945.6
320977.154,4168145.884,2945.615
320977.199,4168145.988,2945.592
320977.215,4168146.043,2945.56
320977.31,4168146.198,2945.6
320977.339,4168146.259,2945.591
320977.35,4168146.278,2945.593
320977.367,4168146.333,2945.564
320977.365,4168146.338,2945.553
320977.378,4168146.359,2945.556
320977.414,4168146.435,2945.5480000000002
320977.429,4168146.459,2945.555
320977.437,4168146.475,2945.554
320977.452,4168146.505,2945.552
320977.449,4168146.509,2945.54
320977.464,4168146.545,2945.528
320977.46,4168146.549,2945.515
320977.469,4168146.565,2945.515
320977.49,4168146.609,2945.511
320977.49,4168146.615,2945.501
320977.492,4168146.624,2945.494
320977.52,4168146.662,2945.516
320977.547,4168146.706,2945.528
320977.58,4168146.75,2945.557
320977.588,4168146.772,2945.5480000000002
320977.588,4168146.778,2945.539
320977.614,4168146.833,2945.532
320977.621,4168146.854,2945.523
320977.63,4168146.87,2945.524
320977.627,4168146.874,2945.512
320977.631,4168146.884,2945.507
320977.637,4168146.898,2945.505
320977.652,4168146.933,2945.495
320977.657,4168146.945,2945.493
320977.664,4168146.966,2945.483
320977.291,4168146.152,2945.575
320977.347,4168146.246,2945.596
320977.353,4168146.259,2945.592
320977.36,4168146.274,2945.59
320977.384,4168146.345,2945.559
320977.389,4168146.356,2945.554
320977.399,4168146.375,2945.556
320977.41,4168146.394,2945.558
320977.419,4168146.418,2945.549
320977.445,4168146.469,2945.549
320977.477,4168146.532,2945.547
320977.497,4168146.588,2945.523
320977.5,4168146.598,2945.517
320977.494,4168146.605,2945.492
320977.508,4168146.628,2945.499
320977.524,4168146.652,2945.507
320977.596,4168146.747,2945.57
320977.599,4168146.763,2945.555
320977.603,4168146.781,2945.541
320977.6,4168146.784,2945.53
320977.617,4168146.816,2945.531
320977.637,4168146.851,2945.536
320977.625,4168146.845,2945.513
320977.65,4168146.879,2945.533
320977.646,4168146.88,2945.5190000000002
320977.65,4168146.891,2945.515
320977.668,4168146.924,2945.517
320977.65,4168146.923,2945.47
320977.655,4168146.936,2945.468
320977.68,4168146.969,2945.487
320977.694,4168146.997,2945.486
320977.425,4168146.403,2945.552
320977.464,4168146.495,2945.529
320977.474,4168146.513,2945.531
320977.498,4168146.581,2945.502
320977.509,4168146.6,2945.506
320977.578,4168146.705,2945.547
320977.598,4168146.734,2945.559
320977.603,4168146.746,2945.556
320977.609,4168146.76,2945.555
320977.621,4168146.799,2945.532
320977.639,4168146.838,2945.526
320977.643,4168146.856,2945.513
320977.667,4168146.888,2945.531
320977.668,4168146.903,2945.515
320977.67,4168146.925,2945.49
320977.411,4168146.345,2945.562
320977.456,4168146.439,2945.555
320977.457,4168146.447,2945.547
320977.487,4168146.523,2945.525
320977.501,4168146.551,2945.521
320977.509,4168146.567,2945.521
320977.528,4168146.615,2945.505
320977.587,4168146.703,2945.545
320977.61,4168146.742,2945.552
320977.617,4168146.757,2945.552
320977.617,4168146.769,2945.533
320977.624,4168146.783,2945.532
320977.659,4168146.849,2945.537
320977.652,4168146.847,2945.5190000000002
320977.653,4168146.855,2945.512
